video,views,comments,favoritesAdded,favoritesRemoved,likes,dislikes,shares,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,subscribersGained,subscribersLost
GNZBSZD16cY,23507852.0,25906.0,90838.0,5255.0,299761.0,4639.0,97866.0,135592278.0,346.0,49.510360184150585,0.0010156543161833928,0.3661295374881563,2735977.0,2734191.0,1545121.0,2777.0,565717.0,68144.0,2394.0
h11u3vtcpaY,6750455.0,8906.0,14566.0,854.0,45976.0,1155.0,24796.0,42454073.0,377.0,55.985772536039924,0.002165652666928344,0.022892280089841906,733758.0,733728.0,298747.0,1589.0,6839.0,13151.0,237.0
36m1o-tM05g,5538836.0,9544.0,10562.0,722.0,47748.0,742.0,19735.0,31237340.0,338.0,44.175149156895316,0.002188122942839924,0.03492240498094973,468662.0,431420.0,161415.0,944.0,5637.0,12085.0,240.0
kSR4xuU07sc,4801836.0,1084.0,4362.0,217.0,9679.0,202.0,3267.0,30278586.0,378.0,57.58563364454682,0.0011916241366604734,0.04950892969279847,127558.0,127557.0,39811.0,152.0,1971.0,1714.0,44.0
gRJ_QfP2mhU,4198308.0,15161.0,9689.0,1073.0,38223.0,4178.0,7256.0,22438266.0,320.0,33.473471471800934,0.0017381189541871955,0.05820326575508733,449270.0,448761.0,105458.0,780.0,6138.0,17316.0,294.0
gXDMoiEkyuQ,4067992.0,2119.0,14914.0,1186.0,26425.0,861.0,29777.0,13606992.0,336.0,56.48803434210483,0.0015865849725894873,0.015635759711589096,77532.0,77525.0,24687.0,123.0,386.0,5196.0,200.0
Uq-FOOQ1TpE,4013246.0,14520.0,11152.0,1011.0,34678.0,1953.0,11975.0,26933586.0,412.0,37.783411740026395,0.0009199799057020597,0.036455818445195555,165361.0,165221.0,41420.0,152.0,1510.0,11137.0,267.0
wSF82AwSDiU,3258340.0,4175.0,11102.0,1268.0,22044.0,1025.0,3858.0,20542794.0,409.0,41.41347216425725,0.0019464201201181183,0.2273102285744811,300122.0,300038.0,168479.0,584.0,38297.0,6610.0,140.0
d0yGdNEWdn0,2730526.0,4969.0,18774.0,1324.0,30862.0,831.0,6217.0,24375189.0,535.0,48.38439417149259,0.0010494140359127303,0.047272151994093806,404711.0,404035.0,132742.0,424.0,6275.0,17634.0,314.0
TBIL2sdfoVc,2606383.0,5931.0,5916.0,656.0,13257.0,4803.0,2408.0,14254489.0,328.0,42.72710348768835,0.0018339249220178553,0.027332583316427215,186210.0,185940.0,54221.0,341.0,1482.0,8681.0,175.0
